PDB_ID	RELEASE_DATE	SELECTED_SOURCE	REVISION_ORDINAL	REVISION_DATE	LEGACY_ORIGINAL_DATE	SOURCES_AGREE
1J8G	2001-11-23	_pdbx_audit_revision_history.revision_date	1	2001-11-23		
1J9H	2001-10-26	_pdbx_audit_revision_history.revision_date	1	2001-10-26		
1JO7	2001-09-19	_pdbx_audit_revision_history.revision_date	1	2001-09-19		
1JOX	2002-05-01	_pdbx_audit_revision_history.revision_date	1	2002-05-01		
1JP0	2002-05-01	_pdbx_audit_revision_history.revision_date	1	2002-05-01		
1JTJ	2002-12-11	_pdbx_audit_revision_history.revision_date	1	2002-12-11		
1JTW	2001-12-12	_pdbx_audit_revision_history.revision_date	1	2001-12-12		
1JU1	2002-08-23	_pdbx_audit_revision_history.revision_date	1	2002-08-23		
1JU7	2002-03-20	_pdbx_audit_revision_history.revision_date	1	2002-03-20		
1JUR	2002-01-16	_pdbx_audit_revision_history.revision_date	1	2002-01-16		
1JWC	2002-03-20	_pdbx_audit_revision_history.revision_date	1	2002-03-20		
1JZC	2003-10-07	_pdbx_audit_revision_history.revision_date	1	2003-10-07		
1JZV	2003-11-11	_pdbx_audit_revision_history.revision_date	1	2003-11-11		
1K2G	2002-05-08	_pdbx_audit_revision_history.revision_date	1	2002-05-08		
1K4A	2001-12-19	_pdbx_audit_revision_history.revision_date	1	2001-12-19		
1K4B	2001-12-19	_pdbx_audit_revision_history.revision_date	1	2001-12-19		
1K5I	2001-10-17	_pdbx_audit_revision_history.revision_date	1	2001-10-17		
1K6G	2001-12-19	_pdbx_audit_revision_history.revision_date	1	2001-12-19		
1K6H	2001-12-19	_pdbx_audit_revision_history.revision_date	1	2001-12-19		
1K8S	2001-11-14	_pdbx_audit_revision_history.revision_date	1	2001-11-14		
1K9W	2001-11-30	_pdbx_audit_revision_history.revision_date	1	2001-11-30		
1KAJ	1996-07-11	_pdbx_audit_revision_history.revision_date	1	1996-07-11		
1KD3	2003-03-04	_pdbx_audit_revision_history.revision_date	1	2003-03-04		
1KD4	2003-03-04	_pdbx_audit_revision_history.revision_date	1	2003-03-04		
1KD5	2003-03-04	_pdbx_audit_revision_history.revision_date	1	2003-03-04		
1KFO	2001-12-07	_pdbx_audit_revision_history.revision_date	1	2001-12-07		
1KH6	2002-04-26	_pdbx_audit_revision_history.revision_date	1	2002-04-26		
1KIS	1997-10-15	_pdbx_audit_revision_history.revision_date	1	1997-10-15		
1KKA	2002-07-17	_pdbx_audit_revision_history.revision_date	1	2002-07-17		
1KKS	2002-03-13	_pdbx_audit_revision_history.revision_date	1	2002-03-13		
1KOC	1996-08-17	_pdbx_audit_revision_history.revision_date	1	1996-08-17		
1KOD	1996-11-08	_pdbx_audit_revision_history.revision_date	1	1996-11-08		
1KOS	1999-10-22	_pdbx_audit_revision_history.revision_date	1	1999-10-22		
1KP7	2002-04-10	_pdbx_audit_revision_history.revision_date	1	2002-04-10		
1KPD	1997-04-01	_pdbx_audit_revision_history.revision_date	1	1997-04-01		
1KPY	2002-01-11	_pdbx_audit_revision_history.revision_date	1	2002-01-11		
1KPZ	2002-01-11	_pdbx_audit_revision_history.revision_date	1	2002-01-11		
1KXK	2002-03-22	_pdbx_audit_revision_history.revision_date	1	2002-03-22		
1L1W	2002-05-22	_pdbx_audit_revision_history.revision_date	1	2002-05-22		
1L2X	2002-03-22	_pdbx_audit_revision_history.revision_date	1	2002-03-22		
1L3D	2002-03-22	_pdbx_audit_revision_history.revision_date	1	2002-03-22		
1L3Z	2003-02-25	_pdbx_audit_revision_history.revision_date	1	2003-02-25		
1L8V	2002-08-23	_pdbx_audit_revision_history.revision_date	1	2002-08-23		
1LC4	2003-04-08	_pdbx_audit_revision_history.revision_date	1	2003-04-08		
1LC6	2002-05-29	_pdbx_audit_revision_history.revision_date	1	2002-05-29		
1LDZ	1998-11-25	_pdbx_audit_revision_history.revision_date	1	1998-11-25		
1LMV	2002-11-27	_pdbx_audit_revision_history.revision_date	1	2002-11-27		
1LNT	2003-06-03	_pdbx_audit_revision_history.revision_date	1	2003-06-03		
1LPW	2002-11-27	_pdbx_audit_revision_history.revision_date	1	2002-11-27		
1LU3	2002-06-26	_pdbx_audit_revision_history.revision_date	1	2002-06-26		
1LUU	2003-09-09	_pdbx_audit_revision_history.revision_date	1	2003-09-09		
1LUX	2003-09-09	_pdbx_audit_revision_history.revision_date	1	2003-09-09		
1LVJ	2002-12-11	_pdbx_audit_revision_history.revision_date	1	2002-12-11		
1M5L	2002-09-18	_pdbx_audit_revision_history.revision_date	1	2002-09-18		
1M82	2003-06-03	_pdbx_audit_revision_history.revision_date	1	2003-06-03		
1MDG	2003-08-12	_pdbx_audit_revision_history.revision_date	1	2003-08-12		
1ME1	2003-08-19	_pdbx_audit_revision_history.revision_date	1	2003-08-19		
1MFJ	2002-11-06	_pdbx_audit_revision_history.revision_date	1	2002-11-06		
1MFK	2002-11-13	_pdbx_audit_revision_history.revision_date	1	2002-11-13		
1MFY	2002-09-18	_pdbx_audit_revision_history.revision_date	1	2002-09-18		
1MHK	2002-09-06	_pdbx_audit_revision_history.revision_date	1	2002-09-06		
1MIS	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1MME	1996-02-06	_pdbx_audit_revision_history.revision_date	1	1996-02-06		
1MNX	2003-01-14	_pdbx_audit_revision_history.revision_date	1	2003-01-14		
1MSY	2003-02-25	_pdbx_audit_revision_history.revision_date	1	2003-02-25		
1MT4	2003-01-14	_pdbx_audit_revision_history.revision_date	1	2003-01-14		
1MUV	2002-12-18	_pdbx_audit_revision_history.revision_date	1	2002-12-18		
