PDB_ID	CIF_PATH	FILE_SIZE_BYTES	SHA256	EXCLUDED
1F85	/storage9920/home/tinghao.xia/pdb_data/1f85.cif	801428	95b0163261efae79d76daed7dc13654ab30e041411bd81ff3f7ef92ba4f2ce48	False
1F9L	/storage9920/home/tinghao.xia/pdb_data/1f9l.cif	94791	ffeede9fac78270f1b2152c9ade7fcca916de64349259a45fc00aa6db179129d	False
1FCW	/storage9920/home/tinghao.xia/pdb_data/1fcw.cif	1199943	3c470cd0dd306ccc739da758d1da5999dcfb9eaae67ee1a4de57f37c458183b0	False
1FEQ	/storage9920/home/tinghao.xia/pdb_data/1feq.cif	615599	565e1b2a4e28ebda0b83d14e6016812e2fc873b9e72dd2411a1b53a75b77ec1f	False
1FG0	/storage9920/home/tinghao.xia/pdb_data/1fg0.cif	1232406	d31bf0fd76186b61ee2a63be8000318c987721bc8f11c8ce64c57312e95e318a	False
1FHK	/storage9920/home/tinghao.xia/pdb_data/1fhk.cif	643506	1600131235e578f882914bfd09cf7d87f4f6959fe316b90d4e67cf48fac487df	False
1FIR	/storage9920/home/tinghao.xia/pdb_data/1fir.cif	223056	0cd6b1d5df8bd735fbca1cfa4e480ce58039236dcae9f0524ee1c362dba110a0	False
1FL8	/storage9920/home/tinghao.xia/pdb_data/1fl8.cif	1063778	91f32689d341eda683335f38df0f4695455ad824a1e58a4a70e06675120721e5	False
1FMN	/storage9920/home/tinghao.xia/pdb_data/1fmn.cif	601769	7c7e7d358b3352f666d08242484336da5ff83737ed19f1fb3dc3be07927ccd68	False
1FOQ	/storage9920/home/tinghao.xia/pdb_data/1foq.cif	1387606	36ab4df5f669d98d92e64a4a9e8944f6db9b878fb0d70563456394c94bbb2b45	False
1FQZ	/storage9920/home/tinghao.xia/pdb_data/1fqz.cif	114278	fbe809f842bb6754cf8f86c75a75dc96459536db1e9bdf57247faab6eabd94ec	False
1FUF	/storage9920/home/tinghao.xia/pdb_data/1fuf.cif	118567	e50bb8f5b10a9a8cfa88a25604750c67e136083f7745d42576bb47340ad30b34	False
1FYO	/storage9920/home/tinghao.xia/pdb_data/1fyo.cif	1904486	45a3352067fe08de6da9a75f9e22fb92931ed5e7a04113b0197a200459c9c7cd	False
1FYP	/storage9920/home/tinghao.xia/pdb_data/1fyp.cif	2616679	08fe4bc354369acac53a034412aa8111f55b3f68b4345a8e5dc3d2b6af4ecbd5	False
1G2J	/storage9920/home/tinghao.xia/pdb_data/1g2j.cif	67633	aca65f208ab634eebe77495dbabc1f9a7166761641c9f3409a1f08d6a2381c0d	False
1G3A	/storage9920/home/tinghao.xia/pdb_data/1g3a.cif	65935	4eb2aee1b30c0469c05d1119c2fc3e84bbdbcb48480c1a6b7ef1e01e979e0a33	False
1GID	/storage9920/home/tinghao.xia/pdb_data/1gid.cif	793954	6ac11b505a9feb7ab788fb42a0d5ce27538155187ab01255bbf08b0441daf505	False
1GRZ	/storage9920/home/tinghao.xia/pdb_data/1grz.cif	1086360	05251b40ed6bf4e4df200701747846f3304a2c9e81b53c2fa33049625ec536c1	False
1GUC	/storage9920/home/tinghao.xia/pdb_data/1guc.cif	1334653	c3946c7faa04d00e348b711675dc64df001c3e2bf2ac340829a37f0162b9db3c	False
1H0Q	/storage9920/home/tinghao.xia/pdb_data/1h0q.cif	1149262	7b2318e2199b1e847f373358a9bea351bbe624d0fbb350d4575b4518fcd01a33	False
1H1K	/storage9920/home/tinghao.xia/pdb_data/1h1k.cif	4902781	6e7fdf7c004edb6a4fca6c057478ef993319a3d4598a5c68b9756cbd3edebc7c	False
